Epoch   Train_L_loss   Train_U_loss   Val_L_loss   Val_U_loss   Val_dice   Val_MSE   best_epoch
166        0.3921         0.8697        -0.0222       0.5602      1.0222     0.5602       119
167        0.2985         0.7736        -0.0222       0.5602      1.0222     0.5602       119
168        0.2547         0.7254        -0.0222       0.5602      1.0222     0.5602       119
169        0.3743         0.6792        -0.0222       0.5602      1.0222     0.5602       119
170        0.5425         0.6999        -0.0222       0.5602      1.0222     0.5602       119
171        0.2877         0.7668        -0.0222       0.5602      1.0222     0.5602       119
172        0.2367         0.8044        -0.0222       0.5602      1.0222     0.5602       119
173        -0.0644         0.7522        -0.0222       0.5602      1.0222     0.5602       119
174        0.1387         0.7916        -0.0222       0.5602      1.0222     0.5602       119
175        0.2301         0.7075        -0.0222       0.5602      1.0222     0.5602       119
176        0.3359         0.7284        -0.0222       0.5602      1.0222     0.5602       119
177        0.4436         0.6865        -0.0222       0.5602      1.0222     0.5602       119
178        0.2712         0.7897        -0.0222       0.5602      1.0222     0.5602       119
179        -0.0851         0.7841        -0.0253       0.5610      1.0253     0.5610       119
180        0.2140         0.7049        -0.0253       0.5610      1.0253     0.5610       119
181        0.2305         0.7270        -0.0253       0.5610      1.0253     0.5610       119
182        0.4098         0.7561        -0.0253       0.5610      1.0253     0.5610       119
183        0.5088         0.7496        -0.0253       0.5610      1.0253     0.5610       119
184        0.1569         0.7537        -0.0253       0.5610      1.0253     0.5610       119
185        0.0827         0.6789        -0.0253       0.5610      1.0253     0.5610       119
186        0.4112         0.6995        -0.0253       0.5610      1.0253     0.5610       119
187        0.4302         0.7943        -0.0253       0.5610      1.0253     0.5610       119
188        0.4324         0.8272        -0.0253       0.5610      1.0253     0.5610       119
189        0.4247         0.6845        -0.0253       0.5610      1.0253     0.5610       119
190        0.3520         0.7223        -0.0253       0.5610      1.0253     0.5610       119
191        0.3114         0.7727        -0.0253       0.5610      1.0253     0.5610       119
192        0.0415         0.6433        -0.0253       0.5610      1.0253     0.5610       119
193        0.5262         0.7416        -0.0253       0.5610      1.0253     0.5610       119
194        0.4157         0.6818        -0.0253       0.5610      1.0253     0.5610       119
195        0.3594         0.8679        -0.0253       0.5610      1.0253     0.5610       119
196        0.1370         0.8313        -0.0253       0.5610      1.0253     0.5610       119
197        0.3073         0.7231        -0.0253       0.5610      1.0253     0.5610       119
198        0.4127         0.8393        -0.0253       0.5610      1.0253     0.5610       119
199        0.4761         0.6938        -0.0433       0.5616      1.0433     0.5616       199
200        0.0285         0.6785        -0.0433       0.5616      1.0433     0.5616       199
201        0.3303         0.7845        -0.0433       0.5616      1.0433     0.5616       199
202        0.3420         0.8654        -0.0433       0.5616      1.0433     0.5616       199
203        0.0306         0.7592        -0.0433       0.5616      1.0433     0.5616       199
204        0.1931         0.7590        -0.0433       0.5616      1.0433     0.5616       199
205        0.3568         0.8210        -0.0433       0.5616      1.0433     0.5616       199
206        0.5902         0.8736        -0.0433       0.5616      1.0433     0.5616       199
207        0.0352         0.6887        -0.0433       0.5616      1.0433     0.5616       199
208        0.4516         0.7141        -0.0433       0.5616      1.0433     0.5616       199
209        0.1025         0.7567        -0.0433       0.5616      1.0433     0.5616       199
210        0.1736         0.7817        -0.0433       0.5616      1.0433     0.5616       199
211        0.0619         0.7500        -0.0433       0.5616      1.0433     0.5616       199
212        0.0145         0.6821        -0.0433       0.5616      1.0433     0.5616       199
213        0.4461         0.8111        -0.0433       0.5616      1.0433     0.5616       199
214        0.1956         0.8035        -0.0433       0.5616      1.0433     0.5616       199
215        0.4892         0.7218        -0.0433       0.5616      1.0433     0.5616       199
216        0.2448         0.7388        -0.0433       0.5616      1.0433     0.5616       199
217        0.5968         0.8584        -0.0433       0.5616      1.0433     0.5616       199
218        0.4468         0.7014        -0.0433       0.5616      1.0433     0.5616       199
219        0.1689         0.6915        -0.0466       0.5619      1.0466     0.5619       219
220        -0.0010         0.7788        -0.0466       0.5619      1.0466     0.5619       219
221        0.3528         0.8685        -0.0466       0.5619      1.0466     0.5619       219
222        0.2511         0.6986        -0.0466       0.5619      1.0466     0.5619       219
223        0.0241         0.7973        -0.0466       0.5619      1.0466     0.5619       219
224        0.4894         0.6590        -0.0466       0.5619      1.0466     0.5619       219
225        0.2181         0.7134        -0.0466       0.5619      1.0466     0.5619       219
226        0.2660         0.6861        -0.0466       0.5619      1.0466     0.5619       219
227        0.1935         0.7020        -0.0466       0.5619      1.0466     0.5619       219
228        0.3424         0.7859        -0.0466       0.5619      1.0466     0.5619       219
229        0.3467         0.7430        -0.0466       0.5619      1.0466     0.5619       219
230        0.3244         0.7260        -0.0466       0.5619      1.0466     0.5619       219
231        0.2231         0.7699        -0.0466       0.5619      1.0466     0.5619       219
232        0.5182         0.7817        -0.0466       0.5619      1.0466     0.5619       219
233        0.0837         0.9058        -0.0466       0.5619      1.0466     0.5619       219
234        0.0147         0.7509        -0.0466       0.5619      1.0466     0.5619       219
235        0.0705         0.6921        -0.0466       0.5619      1.0466     0.5619       219
236        0.0896         0.7228        -0.0466       0.5619      1.0466     0.5619       219
237        0.3140         0.7768        -0.0466       0.5619      1.0466     0.5619       219
238        0.5689         0.7065        -0.0466       0.5619      1.0466     0.5619       219
239        0.2677         0.7079        -0.0400       0.5622      1.0400     0.5622       219
240        0.1732         0.7572        -0.0400       0.5622      1.0400     0.5622       219
241        0.4432         0.8387        -0.0400       0.5622      1.0400     0.5622       219
242        0.3777         0.8688        -0.0400       0.5622      1.0400     0.5622       219
243        0.4212         0.7207        -0.0400       0.5622      1.0400     0.5622       219
244        0.0736         0.8142        -0.0400       0.5622      1.0400     0.5622       219
245        0.0837         0.7586        -0.0400       0.5622      1.0400     0.5622       219
246        0.5355         0.8128        -0.0400       0.5622      1.0400     0.5622       219
247        0.3654         0.7261        -0.0400       0.5622      1.0400     0.5622       219
248        0.1853         0.7132        -0.0400       0.5622      1.0400     0.5622       219
249        0.2176         0.8033        -0.0400       0.5622      1.0400     0.5622       219
250        0.6547         0.7669        -0.0400       0.5622      1.0400     0.5622       219
251        -0.0242         0.8218        -0.0400       0.5622      1.0400     0.5622       219
